h3_d,pop_dens,geometry
892a107446fffff,2280.0,"POLYGON ((-73.97798966291127 40.60661426752009, -73.98008681782694 40.60567782619768, -73.98001823857767 40.603920344838464, -73.97785266380978 40.60309930265598, -73.9757555830808 40.60403567441566, -73.97582400293257 40.60579315791776, -73.97798966291127 40.60661426752009))"
892a1062b47ffff,1440.0,"POLYGON ((-74.13796328283314 40.55468192221766, -74.14005519152649 40.55374310771256, -74.13998070666459 40.55198677147246, -74.13781447213393 40.55116924709502, -74.13572263667619 40.55210799185329, -74.13579696251301 40.55386433073304, -74.13796328283314 40.55468192221766))"
892a103a897ffff,306.0,"POLYGON ((-73.68519127747099 40.59042176855058, -73.68729302020276 40.589490917177535, -73.68723542051006 40.58773384656326, -73.68507623739565 40.58690762608303, -73.68297457023517 40.58783840834997, -73.68303201061747 40.58959548020045, -73.68519127747099 40.59042176855058))"
892a103b1b7ffff,1.0,"POLYGON ((-73.75925718639733 40.63607711098513, -73.76135963413596 40.635144391690545, -73.76129920435035 40.633386290571785, -73.75913648644203 40.632560907281054, -73.7570341140587 40.63349355731159, -73.75709438422803 40.63525165989409, -73.75925718639733 40.63607711098513))"
892a103167bffff,488.0,"POLYGON ((-73.66541898574533 40.63839899277556, -73.66752323072875 40.63746798778701, -73.66746631272025 40.635709857522755, -73.66530530936473 40.63488273107165, -73.66320114020378 40.63581366693631, -73.66325789857558 40.637571798373166, -73.66541898574533 40.63839899277556))"
892a10c5ba3ffff,71.0,"POLYGON ((-73.85359321470933 41.05978182336908, -73.85571300999713 41.058842778436876, -73.85564846595317 41.05707535036949, -73.85346428913952 41.056246965490594, -73.8513445701088 41.0571859405938, -73.85140895163423 41.05895337040209, -73.85359321470933 41.05978182336908))"
892a101885bffff,1218.0,"POLYGON ((-73.88779287510009 40.936917595517095, -73.88990649266849 40.93597923161674, -73.88984082869943 40.934214480659655, -73.88766170882694 40.933388091748036, -73.88554816694638 40.93432638588985, -73.88561366925002 40.93609113869897, -73.88779287510009 40.936917595517095))"
892a1004d97ffff,649.0,"POLYGON ((-73.61350102895427 40.68453070358711, -73.61560827518771 40.68360016438093, -73.61555324769634 40.68184102666638, -73.61339113392339 40.68101242714599, -73.61128396391585 40.68194289726161, -73.61133883145507 40.68370203598538, -73.61350102895427 40.68453070358711))"
892a101a617ffff,14.0,"POLYGON ((-73.8444078375724 41.04409700941814, -73.84652709142485 41.043158304099755, -73.84646291605635 41.04139121907582, -73.84427964924548 41.04056283765469, -73.842160471645 41.04150147317356, -73.842224484603 41.04326855991022, -73.8444078375724 41.04409700941814))"
892a100452bffff,1575.0,"POLYGON ((-73.64473455131198 40.72604502472546, -73.64684309846253 40.72511345761904, -73.64678685021285 40.72335339327073, -73.6446222150465 40.72252489492191, -73.64251374410344 40.72345639284873, -73.64256983211892 40.725216458301155, -73.64473455131198 40.72604502472546))"
892a10746abffff,1365.0,"POLYGON ((-73.99098528837685 40.6115402833289, -73.99308242543248 40.61060354806327, -73.99301335249702 40.60884595618373, -73.99084730193488 40.608025097383994, -73.98875023901745 40.6089617630626, -73.98881915252349 40.610719357125184, -73.99098528837685 40.6115402833289))"
892a106227bffff,50.0,"POLYGON ((-74.17296694456027 40.62493278267865, -74.17506133494139 40.62399254558106, -74.17498542789134 40.622234649324874, -74.17281528995521 40.621416987416595, -74.1707209728556 40.62235715464477, -74.17079672041011 40.62411505364783, -74.17296694456027 40.62493278267865))"
892a101197bffff,32.0,"POLYGON ((-73.73512223585819 40.93284843364944, -73.73723845707104 40.93191296130999, -73.73717855321435 40.930148326710906, -73.73500258979314 40.92931916307262, -73.73288644501429 40.930254565889136, -73.73294618722225 40.93201920186404, -73.73512223585819 40.93284843364944))"
892a100c037ffff,2052.0,"POLYGON ((-73.8754896379146 40.72025284788884, -73.8775937432079 40.71931705934131, -73.87752884371817 40.717557074336035, -73.87535999911523 40.716732876054245, -73.87325596887479 40.71766859507819, -73.87332070818401 40.71942858190471, -73.8754896379146 40.72025284788884))"
892a10055d7ffff,638.0,"POLYGON ((-73.71639208092154 40.75865304438182, -73.71850079831965 40.757719793276316, -73.7184418201073 40.755958991026205, -73.71627428495023 40.75513143855354, -73.71416564351289 40.75606462033774, -73.71422446127146 40.757825423913104, -73.71639208092154 40.75865304438182))"
892a100f21bffff,42.0,"POLYGON ((-73.93141265184191 40.784873837546975, -73.93351863254915 40.783936308977204, -73.93345154236545 40.78217489102582, -73.93127863209067 40.78135099964847, -73.92917272636616 40.78228845854599, -73.92923965593323 40.7840498784903, -73.93141265184191 40.784873837546975))"
892a101594fffff,372.0,"POLYGON ((-73.62808744927466 40.80839399803582, -73.63019999873012 40.80746185604979, -73.63014427736906 40.8056999804046, -73.62797616735006 40.80487024569442, -73.62586369445192 40.80580231844458, -73.62591925501512 40.807564195137964, -73.62808744927466 40.80839399803582))"
892a1001687ffff,931.0,"POLYGON ((-73.8627273250509 40.89783244987666, -73.86483964016851 40.896894974354474, -73.86477497503992 40.89513108321251, -73.86259815619161 40.89430466581465, -73.86048591676042 40.895242071655055, -73.86055042049068 40.89700596457226, -73.8627273250509 40.89783244987666))"
892a100a86bffff,1961.0,"POLYGON ((-73.92894048925442 40.83256088103109, -73.93104865610704 40.831622880260575, -73.93098159062625 40.82986041318049, -73.92880651923605 40.82903594488434, -73.92669842753098 40.82997387593857, -73.92676533206813 40.83173634500241, -73.92894048925442 40.83256088103109))"
892a1004e17ffff,207.0,"POLYGON ((-73.66729710651504 40.69643981732516, -73.66940391850771 40.695508150064875, -73.66934685962077 40.69374873406538, -73.66718314877231 40.692920984147754, -73.66507641278045 40.69385258222346, -73.6651333116359 40.695611999398565, -73.66729710651504 40.69643981732516))"
892a100ca8bffff,1119.0,"POLYGON ((-73.89101230552156 40.67757627768268, -73.8931142174736 40.67664066670177, -73.89304879507549 40.67488162302328, -73.89088162061326 40.67405818845201, -73.88877978350135 40.674993729928815, -73.88884504601111 40.67675277547821, -73.89101230552156 40.67757627768268))"
892a1062087ffff,484.0,"POLYGON ((-74.12201177133859 40.6316656681666, -74.12410740122465 40.630726295106406, -74.12403339160282 40.62896824983049, -74.12186391164335 40.62814957502316, -74.11976835531196 40.62908887828204, -74.11984220538488 40.63084692614676, -74.12201177133859 40.6316656681666))"
892a101a56bffff,47.0,"POLYGON ((-73.81558960571148 41.02095747665981, -73.81770834048089 41.02001955775395, -73.81764528509879 41.018252981937444, -73.81546365719929 41.01742432340044, -73.81334499875047 41.01836217257352, -73.81340789188017 41.02012875001352, -73.81558960571148 41.02095747665981))"
892a10158d7ffff,460.0,"POLYGON ((-73.62892259706202 40.83482708625075, -73.63103632184057 40.83389464549755, -73.63098053762616 40.83213218807817, -73.62881118961197 40.831302170359734, -73.6266975414729 40.83223454184961, -73.62675316470822 40.833997000318426, -73.62892259706202 40.83482708625075))"
892a100f3a3ffff,1047.0,"POLYGON ((-73.90270849835478 40.76183238855362, -73.90481397052487 40.76089564300583, -73.90474799127905 40.759134736479346, -73.90257670032462 40.75831057359344, -73.9004713032058 40.75924724953513, -73.90053712198971 40.761008157966, -73.90270849835478 40.76183238855362))"
892a100544fffff,785.0,"POLYGON ((-73.74668714096428 40.7684754444322, -73.74879575076505 40.76754152405523, -73.74873562232823 40.76578049837299, -73.74656704460953 40.764953391645875, -73.74445851065201 40.76588724264569, -73.74451847856956 40.76764826974695, -73.74668714096428 40.7684754444322))"
